Geneid,bphP_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_01240,99.4845638660989,140.570554188075,0.00841290745535868,-0.4987498167508852,2.0750538884346943
PA14_01250,43.35679071033123,90.19719816002437,0.0010372178226863908,-1.0568246274611095,2.9841300292842416
PA14_01270,9.012938484052642,15.382953110695595,0.022943876587421887,-0.7712629630183468,1.6393332020280635
PA14_01290,16.1021854277016,13.55787739560096,0.3123008212143172,0.24812515874596927,0.5054268737641098
PA14_01300,6.592521230793821,5.514381501354027,0.22581605633969984,0.2576311822396273,0.646245181402122
PA14_01310,1.6374262921569462,1.996367373865971,0.331748466346034,-0.28594708331544544,0.47919107617714907
PA14_01320,4.6992771935056945,5.30604379172173,0.43816032115528175,-0.17519767239345202,0.35836695375738975
PA14_01330,49.39189400566204,33.72963075602252,0.025679639772854212,0.5502577514465704,1.590411072727753
PA14_01340,3.944259057216558,3.8602942771147775,0.8490683552133328,0.03104347035684703,0.0710573449775275
PA14_01350,1.9566130366819412,1.6539868343321105,0.08364638759409432,0.24241055350181473,1.0775528100133305
PA14_01360,1.8478148841017434,1.8977276377625716,0.8425812929606015,-0.03845269432595481,0.07438818733375169
PA14_01380,5.415188610242602,4.204046946882226,0.5198033965852403,0.3652327192121093,0.28416088698697295
PA14_01390,261.03776817196564,227.04240123702834,0.31339809832841753,0.20129680408157677,0.50390364311944
PA14_01400,33.94925852505583,37.18663771164234,0.1582063736328512,-0.1314042406776259,0.8007760241391099
PA14_01410,43.25173914904702,47.02684437370461,0.7119699597694502,-0.12072637911993966,0.147538330213693
PA14_01430,8.509082711338065,7.744196351417521,0.5612621119653181,0.13588806477592727,0.2508342738675595
PA14_01440,14.09053200780675,15.099360104078011,0.3556065094548564,-0.09976131933844722,0.44903029777367554
PA14_01460,15.182388734426338,16.241289243122576,0.398676976401815,-0.09726735562579732,0.3993788441228113
PA14_01470,15.583091922077498,14.294659369033008,0.4605396528004301,0.12450526276444643,0.33673297078520503
PA14_01480,13.903280751672945,13.672505822923393,0.8998844891491802,0.024147676764261473,0.045813233832515406
PA14_01490,1700.4851854330336,1182.3466331395869,0.2110862946769167,0.5242933789462778,0.67553996346834
PA14_01500,23.224114501901578,29.30255340320008,0.15412605388374617,-0.33540278068121754,0.812123940765518
PA14_01510,6.6700904510778125,7.405628753496633,0.5291666948660951,-0.15091587835898754,0.2764074976119846
PA14_01520,5.187299587500339,4.1081525679730975,0.2777282791495741,0.3364938482791305,0.5563798967952134
PA14_01540,58.08210756884853,36.516705904589635,0.06355194097612371,0.6695371583785948,1.1968711808716204
PA14_01550,16.092377239337917,19.777560853681837,0.04991136155132651,-0.2974870284559489,1.3018005826852197
PA14_01560,63.371081159070435,52.88611019893443,0.1947248300989059,0.2609357557229356,0.7105786664184197
PA14_01580,243.33878877237802,186.0778898762603,0.4758914744282801,0.3870596636228169,0.32249207549525144
PA14_01600,603.4835404908657,509.746394083373,0.574964629888848,0.24353475797347468,0.24035887099136213
PA14_01610,51.845072505276846,36.8128294484437,0.46344521139324996,0.4939982247892899,0.3340016008852157
PA14_01620,385.3971001779383,252.50410497213605,0.3515969706927243,0.6100388721955805,0.45395487539889534
PA14_01640,17.50919140677559,18.41218940827012,0.6405792831612367,-0.07254872416214603,0.19342711087082992
PA14_01660,17.25019299526613,23.127133253336932,0.07720892830797033,-0.42297391905650306,1.1123324756917117
PA14_01670,4.636080070065471,4.055946312085497,0.5701282626960525,0.19286687650060735,0.24402742938930871
PA14_01680,0.6925626793929491,1.101589315697425,0.17535815099846824,-0.6695690309562977,0.7560740424349801
PA14_01690,2.4985486561171557,2.7831085210034257,0.627649689185975,-0.1556067834385223,0.20228268190305138
PA14_01710,1695.5679862438872,1393.271435555607,0.1243508083423669,0.2832922827219795,0.9053513872538087
PA14_01720,120.68051490169512,96.01187442936337,0.12977346061439063,0.3299080038475571,0.8868141140626045
PA14_01730,786.7044695271555,428.7226592305298,0.10830951063444853,0.8757771085225345,0.9653334063967515
PA14_01750,42.12689748042236,36.64238514382469,0.4334823190905338,0.20122824866204564,0.36302861186254415
PA14_01760,566.0917966928129,587.1045726002131,0.7513999133194311,-0.05258147536206523,0.12412885937230801
PA14_01770,16.454961248643542,14.592308088627277,0.43574225312973947,0.17331452137341963,0.3607703252803061
PA14_01780,56.202584812952004,53.41392170393351,0.8404406708055874,0.07342066917287456,0.07549293927530012
PA14_01790,25.96670360701988,23.248985494943412,0.5832687753195418,0.1594951090921026,0.2341312724460257
PA14_01800,2.8124267944463703,2.3184169659023106,0.4367960600284542,0.2786753611904245,0.35972128769255546
PA14_01810,19.63207033149426,19.074464793945026,0.7581009377909963,0.041569742700429416,0.12027296612628093
PA14_01830,75.560500263437,73.9223802777687,0.9041673673504347,0.03162104108710936,0.043751171306789585
